country,topic_l3,status,2024_resolution_count,2025_resolution_count,resolution_count_change,2024_recorded_vote_count,2025_recorded_vote_count,recorded_vote_count_change,2024_not_recorded_count,2025_not_recorded_count,not_recorded_count_change,2024_country_missing_count,2025_country_missing_count,country_missing_count_change,2024_unknown_vote_count,2025_unknown_vote_count,unknown_vote_count_change,2024_yes_count,2025_yes_count,yes_count_change,2024_yes_pct,2025_yes_pct,yes_pct_change_pp,2024_abstain_count,2025_abstain_count,abstain_count_change,2024_abstain_pct,2025_abstain_pct,abstain_pct_change_pp,2024_no_count,2025_no_count,no_count_change,2024_no_pct,2025_no_pct,no_pct_change_pp,abs_yes_pct_change_pp
CPV,DEVELOPMENT,PRESENT_IN_BOTH,5,38,33,5,38,33,0,0,0,0,0,0,0,0,0,5,38,33,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,INTERNATIONAL SECURITY,PRESENT_IN_BOTH,5,23,18,3,22,19,2,0,-2,0,1,1,0,0,0,3,22,19,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,POLITICAL CONDITIONS,PRESENT_IN_BOTH,8,21,13,8,19,11,0,1,1,0,1,1,0,0,0,8,19,11,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,ENVIRONMENT,PRESENT_IN_BOTH,1,17,16,1,17,16,0,0,0,0,0,0,0,0,0,1,17,16,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,COOPERATION BETWEEN ORGANIZATIONS,PRESENT_IN_BOTH,3,13,10,2,10,8,1,2,1,0,1,1,0,0,0,2,10,8,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,NUCLEAR DISARMAMENT,PRESENT_IN_BOTH,10,12,2,9,12,3,1,0,-1,0,0,0,0,0,0,9,12,3,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,HUMAN RIGHTS,PRESENT_IN_BOTH,1,11,10,1,10,9,0,0,0,0,1,1,0,0,0,1,10,9,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,ECONOMIC CONDITIONS,PRESENT_IN_BOTH,2,10,8,2,10,8,0,0,0,0,0,0,0,0,0,2,10,8,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,INTERNATIONAL COOPERATION,PRESENT_IN_BOTH,1,9,8,1,9,8,0,0,0,0,0,0,0,0,0,1,9,8,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,INTERNATIONAL LAW,PRESENT_IN_BOTH,2,8,6,1,8,7,1,0,-1,0,0,0,0,0,0,1,8,7,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,PALESTINE QUESTION,PRESENT_IN_BOTH,3,8,5,3,8,5,0,0,0,0,0,0,0,0,0,3,8,5,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DISARMAMENT,PRESENT_IN_BOTH,2,7,5,1,7,6,1,0,-1,0,0,0,0,0,0,1,7,6,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DEMOCRACY,PRESENT_IN_BOTH,1,5,4,1,5,4,0,0,0,0,0,0,0,0,0,1,5,4,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,OUTER SPACE,PRESENT_IN_BOTH,1,5,4,1,5,4,0,0,0,0,0,0,0,0,0,1,5,4,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DECOLONIZATION,PRESENT_IN_BOTH,3,4,1,3,4,1,0,0,0,0,0,0,0,0,0,3,4,1,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DIPLOMATIC RELATIONS,PRESENT_IN_BOTH,12,4,-8,10,4,-6,2,0,-2,0,0,0,0,0,0,10,4,-6,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,PEACEBUILDING,PRESENT_IN_BOTH,1,4,3,1,4,3,0,0,0,0,0,0,0,0,0,1,4,3,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DIPLOMACY,PRESENT_IN_BOTH,8,3,-5,5,3,-2,3,0,-3,0,0,0,0,0,0,5,3,-2,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,INTERNATIONAL TRADE,PRESENT_IN_BOTH,2,3,1,2,3,1,0,0,0,0,0,0,0,0,0,2,3,1,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,PALESTINE REFUGEES,PRESENT_IN_BOTH,4,3,-1,3,3,0,1,0,-1,0,0,0,0,0,0,3,3,0,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,ADVISORY OPINIONS,PRESENT_IN_BOTH,3,2,-1,3,1,-2,0,0,0,0,1,1,0,0,0,3,1,-2,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,COLONIAL COUNTRIES,PRESENT_IN_BOTH,3,2,-1,3,1,-2,0,0,0,0,1,1,0,0,0,3,1,-2,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
CPV,DISPUTE SETTLEMENT,PRESENT_IN_BOTH,5,2,-3,4,1,-3,1,0,-1,0,1,1,0,0,0,4,1,-3,100.00,100.00,0.00,0,0,0,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00
